,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
k141_4400_1,0.029500291956532997,0.013847077413598606,0.0216736846850658,0.013546054057003713,0.018061404405927094,0.004515353359156948,0.007826610281700761,0.006321493498726301,0.016556287622952633,0.012040937274029252,0.007826610281700761,0.016255264266357743,0.01294400734381393,0.009331727064675222,0.008729680351485438,0.00903070370808033,0.01294400734381393,0.007826610281700761,0.009331727064675222,0.009933773777865007,0.007525586925105869,0.010836843847649684,0.00903070370808033,0.005117400072346732,0.007525586925105869,0.006923540211916085,0.0066225168553211925,0.00481637671575184,0.008428656994890546,0.007826610281700761,0.003311259932777379,0.01745935769273731,0.008428656994890546,0.006020470142131408,0.006321493498726301,0.0066225168553211925,0.005117400072346732,0.007224563568510977,0.005418423428941625,0.003010236576182487,0.00481637671575184,0.012040937274029252,0.004214330002562056,0.007525586925105869,0.0057194467855365165,0.015653217553167956,0.007525586925105869,0.006321493498726301,0.005418423428941625,0.005418423428941625,0.004515353359156948,0.012341960630624144,0.0018061431498029186,0.006321493498726301,0.006321493498726301,0.004515353359156948,0.0036122832893722714,0.0057194467855365165,0.014750147483383281,0.005418423428941625,0.005117400072346732,0.004515353359156948,0.009933773777865007,0.010836843847649684,0.007525586925105869,0.00481637671575184,0.004515353359156948,0.012341960630624144,0.007826610281700761,0.003010236576182487,0.0036122832893722714,0.004515353359156948,0.008127633638295653,0.01745935769273731,0.01715833433614242,0.00903070370808033,0.008127633638295653,0.015352194196573066,0.014148100770193498,0.01294400734381393,0.00903070370808033,0.003311259932777379,0.002107166506397811,0.006020470142131408,0.0057194467855365165,0.0066225168553211925,0.004214330002562056,0.006923540211916085,0.007525586925105869,0.006923540211916085,0.008127633638295653,0.006923540211916085,0.003311259932777379,0.011137867204244575,0.005117400072346732,0.0036122832893722714,0.00481637671575184,0.007826610281700761,0.0039133066459671635,0.0015051197932080265,0.01715833433614242,0.0102347971344599,0.007224563568510977,3.0102335659489217e-09,0.0039133066459671635,0.00481637671575184,0.006321493498726301,0.002709213219587595,0.007224563568510977,0.002107166506397811,0.011137867204244575,0.0039133066459671635,0.009331727064675222,0.008127633638295653,0.0036122832893722714,0.003311259932777379,0.004515353359156948,0.002709213219587595,0.002408189862992703,0.004214330002562056,3.0102335659489217e-09,0.010836843847649684,0.008127633638295653,0.002107166506397811,0.002709213219587595,0.0039133066459671635,0.008428656994890546,0.0006020497234233502,0.0039133066459671635,0.0057194467855365165,0.0006020497234233502,0.003311259932777379,0.003311259932777379,0.002408189862992703,0.0015051197932080265,0.0003010263668284581
k141_4400_2,0.0120373137614364,0.014143843143055423,0.01956063298150434,0.009629851611014657,0.016551305293477165,0.004213061772565737,0.0120373137614364,0.008727053304606503,0.015347574218266295,0.01324104483664727,0.013541977605449987,0.008727053304606503,0.011736380992633681,0.007222389460592914,0.006921456691790196,0.00902798607340922,0.015648506987069013,0.008727053304606503,0.00902798607340922,0.01324104483664727,0.009930784379817375,0.014444775911858141,0.007222389460592914,0.011134515455028245,0.008125187767001068,0.009328918842211938,0.00902798607340922,0.007523322229395632,0.009930784379817375,0.007523322229395632,0.003912129003763019,0.015347574218266295,0.003912129003763019,0.006018658385382043,0.006921456691790196,0.006319591154184761,0.005416792847776608,0.007222389460592914,0.00902798607340922,0.0027083979285521475,0.006921456691790196,0.009328918842211938,0.0027083979285521475,0.004213061772565737,0.005416792847776608,0.012639179299041835,0.008426120535803786,0.007523322229395632,0.0027083979285521475,0.006620523922987479,0.0033102634661575834,0.006319591154184761,0.0027083979285521475,0.006921456691790196,0.006018658385382043,0.008727053304606503,0.003912129003763019,0.00511586007897389,0.010231717148620093,0.007523322229395632,0.006319591154184761,0.008125187767001068,0.0120373137614364,0.010231717148620093,0.004814927310171172,0.004213061772565737,0.006319591154184761,0.009328918842211938,0.006921456691790196,0.00782425499819835,0.0030093306973548654,0.0030093306973548654,0.009328918842211938,0.01324104483664727,0.01986156575030706,0.008125187767001068,0.010833582686225527,0.015046641449463577,0.013842910374252705,0.011435448223830963,0.01053264991742281,0.003611196234960301,0.006319591154184761,0.007222389460592914,0.008426120535803786,0.00782425499819835,0.00511586007897389,0.008125187767001068,0.006018658385382043,0.006921456691790196,0.011435448223830963,0.00782425499819835,0.004213061772565737,0.009328918842211938,0.005717725616579325,0.004213061772565737,0.006620523922987479,0.008426120535803786,0.004213061772565737,0.0018055996221439945,0.015046641449463577,0.00902798607340922,0.009930784379817375,3.0093276880271778e-09,0.0027083979285521475,0.0030093306973548654,0.006018658385382043,0.0027083979285521475,0.006018658385382043,0.001203734084538559,0.009930784379817375,0.006921456691790196,0.006921456691790196,0.006921456691790196,0.0033102634661575834,0.0033102634661575834,0.007222389460592914,0.001203734084538559,0.0030093306973548654,0.006319591154184761,0.0003009357781304058,0.008727053304606503,0.006319591154184761,0.0018055996221439945,0.0009028013157358413,0.005717725616579325,0.008727053304606503,0.0018055996221439945,0.005416792847776608,0.004814927310171172,3.0093276880271778e-09,0.0027083979285521475,0.003912129003763019,0.002106532390946712,0.0003009357781304058,0.0003009357781304058
k141_1485_1,0.006760019703705078,0.007242877909071009,0.013520034578828102,0.00917431073053473,0.011105743551998452,0.003380012266143566,0.007725736114436939,0.014968609194925894,0.015451467400291826,0.011105743551998452,0.013037176373462172,0.00820859431980287,0.0057943032929732175,0.011105743551998452,0.00965716893590066,0.007725736114436939,0.0086914525251688,0.0053114450876072875,0.0057943032929732175,0.00820859431980287,0.0057943032929732175,0.013520034578828102,0.014002892784194032,0.01062288534663252,0.0048285868822413565,0.006760019703705078,0.006760019703705078,0.02269434048078078,0.014002892784194032,0.00917431073053473,0.0048285868822413565,0.017865758427121476,0.003380012266143566,0.0043457286768754265,0.0057943032929732175,0.006277161498339148,0.006277161498339148,0.00917431073053473,0.011588601757364382,0.0019314376500457748,0.003380012266143566,0.01014002714126659,0.003862870471509496,0.0043457286768754265,0.0048285868822413565,0.006760019703705078,0.007725736114436939,0.007725736114436939,0.0057943032929732175,0.0053114450876072875,0.007242877909071009,0.012554318168096242,0.00917431073053473,0.006277161498339148,0.0048285868822413565,0.00965716893590066,0.006760019703705078,0.0028971540607776354,0.0086914525251688,0.00820859431980287,0.003862870471509496,0.003380012266143566,0.003862870471509496,0.011588601757364382,0.007242877909071009,0.0028971540607776354,0.0053114450876072875,0.006760019703705078,0.012071459962730312,0.011105743551998452,0.0014485794446798446,0.006277161498339148,0.0086914525251688,0.01062288534663252,0.01062288534663252,0.016900042016389616,0.00917431073053473,0.006277161498339148,0.016900042016389616,0.014002892784194032,0.00820859431980287,0.00917431073053473,0.012554318168096242,0.0057943032929732175,0.0086914525251688,0.0053114450876072875,0.0014485794446798446,0.0048285868822413565,0.002414295855411705,0.003380012266143566,0.003380012266143566,0.015451467400291826,0.018348616632487408,0.01062288534663252,0.006277161498339148,0.0028971540607776354,0.007242877909071009,0.006760019703705078,0.00820859431980287,0.0009657212393139143,0.018831474837853336,0.013520034578828102,0.012554318168096242,0.0057943032929732175,0.003862870471509496,0.0048285868822413565,0.007725736114436939,0.0043457286768754265,0.00820859431980287,0.0053114450876072875,0.007725736114436939,0.0019314376500457748,0.0043457286768754265,0.0043457286768754265,0.0057943032929732175,0.0048285868822413565,0.007725736114436939,0.0014485794446798446,0.000482863033947984,0.003380012266143566,0.0009657212393139143,0.0043457286768754265,0.0086914525251688,0.000482863033947984,0.000482863033947984,0.0048285868822413565,0.007242877909071009,0.002414295855411705,0.006277161498339148,0.012554318168096242,0.000482863033947984,0.003380012266143566,0.0048285868822413565,0.0009657212393139143,0.0009657212393139143,0.003380012266143566
k141_1485_2,0.006760019703705078,0.00965716893590066,0.011105743551998452,0.011105743551998452,0.013037176373462172,0.0057943032929732175,0.012554318168096242,0.012071459962730312,0.017382900221755548,0.007725736114436939,0.0057943032929732175,0.0086914525251688,0.0086914525251688,0.00965716893590066,0.014002892784194032,0.007725736114436939,0.011588601757364382,0.0053114450876072875,0.0048285868822413565,0.01014002714126659,0.012071459962730312,0.011588601757364382,0.015451467400291826,0.007725736114436939,0.007242877909071009,0.00820859431980287,0.01062288534663252,0.012554318168096242,0.011588601757364382,0.011588601757364382,0.007242877909071009,0.014968609194925894,0.0043457286768754265,0.007725736114436939,0.0048285868822413565,0.002414295855411705,0.0043457286768754265,0.0048285868822413565,0.006760019703705078,0.0009657212393139143,0.0053114450876072875,0.006277161498339148,0.0014485794446798446,0.0057943032929732175,0.00917431073053473,0.012071459962730312,0.007242877909071009,0.003380012266143566,0.0028971540607776354,0.0048285868822413565,0.0057943032929732175,0.00917431073053473,0.0057943032929732175,0.011105743551998452,0.007242877909071009,0.00917431073053473,0.00965716893590066,0.003862870471509496,0.00965716893590066,0.006760019703705078,0.0043457286768754265,0.0028971540607776354,0.007725736114436939,0.01062288534663252,0.0048285868822413565,0.0028971540607776354,0.0043457286768754265,0.007242877909071009,0.00965716893590066,0.01014002714126659,0.0028971540607776354,0.0053114450876072875,0.01014002714126659,0.011105743551998452,0.011105743551998452,0.014968609194925894,0.012071459962730312,0.006760019703705078,0.014002892784194032,0.012554318168096242,0.0086914525251688,0.0057943032929732175,0.007242877909071009,0.007242877909071009,0.006760019703705078,0.00820859431980287,0.006277161498339148,0.007242877909071009,0.0043457286768754265,0.003862870471509496,0.00917431073053473,0.01014002714126659,0.006760019703705078,0.007725736114436939,0.0086914525251688,0.003862870471509496,0.01062288534663252,0.006277161498339148,0.011588601757364382,0.0028971540607776354,0.012554318168096242,0.011105743551998452,0.00965716893590066,0.0053114450876072875,0.003862870471509496,0.0043457286768754265,0.00820859431980287,0.0043457286768754265,0.0048285868822413565,0.003380012266143566,0.014002892784194032,0.006760019703705078,0.007242877909071009,0.003380012266143566,0.0053114450876072875,0.006277161498339148,0.007242877909071009,0.0009657212393139143,0.0053114450876072875,0.003380012266143566,0.0019314376500457748,0.003380012266143566,0.006760019703705078,0.0014485794446798446,4.828582053659304e-09,0.007725736114436939,0.00917431073053473,0.0019314376500457748,0.0053114450876072875,0.007242877909071009,4.828582053659304e-09,0.003862870471509496,0.006277161498339148,0.0048285868822413565,0.0009657212393139143,0.0053114450876072875
k141_4427_1,0.032201900002356794,0.015665791424945005,0.01740643443309361,0.015665791424945005,0.013925148416796394,0.008268058640313413,0.010879023152536327,0.010879023152536327,0.0147954699208707,0.011314183904573479,0.011749344656610632,0.008703219392350565,0.012184505408647784,0.0056570941280905,0.010879023152536327,0.011314183904573479,0.02045255969735368,0.0069625763842019565,0.007397737136239109,0.007397737136239109,0.01305482691272209,0.012619666160684936,0.010879023152536327,0.009138380144387719,0.0069625763842019565,0.006527415632164805,0.008268058640313413,0.010008701648462022,0.00957354089642487,0.007832897888276262,0.0021758081117932817,0.014360309168833548,0.008268058640313413,0.003916451119941891,0.007832897888276262,0.005221933376053348,0.0034812903679047385,0.003916451119941891,0.008703219392350565,0.0034812903679047385,0.006527415632164805,0.008703219392350565,0.004351611871979043,0.003916451119941891,0.0069625763842019565,0.012619666160684936,0.004351611871979043,0.007397737136239109,0.002610968863830434,0.004786772624016195,0.0034812903679047385,0.012619666160684936,0.0013054866077189772,0.006092254880127652,0.007397737136239109,0.008268058640313413,0.007832897888276262,0.004786772624016195,0.019147077441242222,0.010443862400499175,0.00957354089642487,0.006092254880127652,0.010443862400499175,0.012619666160684936,0.009138380144387719,0.0056570941280905,0.003916451119941891,0.008268058640313413,0.007832897888276262,0.009138380144387719,0.007832897888276262,0.005221933376053348,0.010879023152536327,0.01305482691272209,0.016536112929019308,0.008703219392350565,0.010443862400499175,0.012619666160684936,0.010008701648462022,0.011314183904573479,0.006527415632164805,0.004786772624016195,0.0034812903679047385,0.0056570941280905,0.005221933376053348,0.006092254880127652,0.004351611871979043,0.006092254880127652,0.004786772624016195,0.008703219392350565,0.005221933376053348,0.0056570941280905,0.004786772624016195,0.004351611871979043,0.007832897888276262,0.0017406473597561293,0.006527415632164805,0.007397737136239109,0.0030461296158675864,0.0021758081117932817,0.00957354089642487,0.005221933376053348,0.006092254880127652,4.351607520371523e-09,0.004351611871979043,0.006527415632164805,0.003916451119941891,0.0034812903679047385,0.007832897888276262,0.0034812903679047385,0.00957354089642487,0.004351611871979043,0.006092254880127652,0.0069625763842019565,0.0017406473597561293,0.004786772624016195,0.0056570941280905,0.000870325855681825,0.0017406473597561293,0.0069625763842019565,4.351607520371523e-09,0.0056570941280905,0.009138380144387719,0.0030461296158675864,0.0021758081117932817,0.004786772624016195,0.009138380144387719,0.0017406473597561293,0.000870325855681825,0.006092254880127652,0.0004351651036446727,0.0034812903679047385,0.004351611871979043,0.000870325855681825,0.0013054866077189772,0.0004351651036446727
k141_4427_2,0.02044366341740657,0.01087429108784867,0.01652892019167834,0.012614176965950106,0.01565897725262762,0.0039147475754429265,0.011744234026899388,0.00652457639259508,0.01652892019167834,0.012614176965950106,0.010004348148797953,0.010439319618323312,0.015224005783102262,0.012179205496424747,0.01087429108784867,0.013484119905000825,0.016963891661203698,0.0030448046363922084,0.007394519331645798,0.009134405209747235,0.01087429108784867,0.01087429108784867,0.009134405209747235,0.006959547862120439,0.01130926255737403,0.006959547862120439,0.008264462270696516,0.008264462270696516,0.00652457639259508,0.00652457639259508,0.0021748616973414903,0.015224005783102262,0.005219661984019003,0.005654633453544362,0.004784690514493644,0.004784690514493644,0.007394519331645798,0.005219661984019003,0.008264462270696516,0.003479776105917567,0.005654633453544362,0.008699433740221875,0.0017398902278161312,0.005654633453544362,0.005219661984019003,0.014789034313576904,0.005219661984019003,0.00652457639259508,0.005219661984019003,0.00652457639259508,0.004784690514493644,0.006959547862120439,0.002609833166866849,0.006959547862120439,0.0060896049230697216,0.013484119905000825,0.008264462270696516,0.004349719044968285,0.010004348148797953,0.005654633453544362,0.008699433740221875,0.002609833166866849,0.009569376679272594,0.009134405209747235,0.005219661984019003,0.004349719044968285,0.004349719044968285,0.013919091374526186,0.005654633453544362,0.007829490801171157,0.0017398902278161312,0.005654633453544362,0.009134405209747235,0.015224005783102262,0.014789034313576904,0.012614176965950106,0.013484119905000825,0.017833834600254415,0.014354062844051545,0.009134405209747235,0.01087429108784867,0.003479776105917567,0.003479776105917567,0.0039147475754429265,0.004784690514493644,0.0060896049230697216,0.004349719044968285,0.008264462270696516,0.00652457639259508,0.006959547862120439,0.01087429108784867,0.007394519331645798,0.002609833166866849,0.00652457639259508,0.0039147475754429265,0.002609833166866849,0.008264462270696516,0.005654633453544362,0.004349719044968285,0.0030448046363922084,0.012179205496424747,0.013484119905000825,0.007829490801171157,4.349714695253591e-09,0.0030448046363922084,0.003479776105917567,0.003479776105917567,0.0030448046363922084,0.0060896049230697216,0.0039147475754429265,0.017398863130729057,0.008699433740221875,0.0060896049230697216,0.00652457639259508,0.0030448046363922084,0.002609833166866849,0.010004348148797953,0.0008699472887654133,0.0017398902278161312,0.0060896049230697216,4.349714695253591e-09,0.007394519331645798,0.004784690514493644,0.005219661984019003,0.0017398902278161312,0.00652457639259508,0.015224005783102262,0.0021748616973414903,0.005219661984019003,0.005219661984019003,4.349714695253591e-09,0.0030448046363922084,0.0039147475754429265,0.0013049187582907724,0.0008699472887654133,4.349714695253591e-09
k141_48_1,0.023799020552371975,0.014103125085830703,0.01366240256462428,0.01057734491617933,0.018069627776688496,0.002644339534463741,0.011899512479798594,0.012780957522211436,0.01101806743738575,0.006610842225321535,0.00837373231014722,0.01057734491617933,0.009255177352560064,0.00837373231014722,0.007051564746527956,0.007492287267734378,0.013221680043417857,0.006610842225321535,0.009255177352560064,0.013221680043417857,0.0079330097889408,0.012780957522211436,0.01366240256462428,0.009695899873766485,0.008814454831353643,0.007051564746527956,0.00837373231014722,0.014543847607037124,0.009255177352560064,0.0079330097889408,0.00837373231014722,0.014103125085830703,0.008814454831353643,0.0057293971829086915,0.006170119704115113,0.0048479521404958485,0.0057293971829086915,0.009255177352560064,0.00528867466170227,0.002644339534463741,0.004407229619289427,0.007051564746527956,0.0030850620556701625,0.007051564746527956,0.0057293971829086915,0.009695899873766485,0.00837373231014722,0.002644339534463741,0.0030850620556701625,0.006610842225321535,0.008814454831353643,0.006170119704115113,0.0030850620556701625,0.0048479521404958485,0.0048479521404958485,0.007492287267734378,0.00837373231014722,0.0035257845768765844,0.008814454831353643,0.004407229619289427,0.00528867466170227,0.004407229619289427,0.0079330097889408,0.014103125085830703,0.00528867466170227,0.0035257845768765844,0.0030850620556701625,0.007492287267734378,0.0057293971829086915,0.007492287267734378,0.0039665070980830055,0.0013221719708444767,0.0039665070980830055,0.01586601517065639,0.01366240256462428,0.01057734491617933,0.009255177352560064,0.013221680043417857,0.014543847607037124,0.01057734491617933,0.008814454831353643,0.006610842225321535,0.00528867466170227,0.006170119704115113,0.006610842225321535,0.007492287267734378,0.0030850620556701625,0.010136622394972906,0.004407229619289427,0.0057293971829086915,0.01101806743738575,0.00837373231014722,0.012340235001005015,0.01057734491617933,0.01101806743738575,0.0030850620556701625,0.0079330097889408,0.002644339534463741,0.01101806743738575,0.0048479521404958485,0.012340235001005015,0.00837373231014722,0.009695899873766485,0.001762894492050898,0.0030850620556701625,0.0039665070980830055,0.002644339534463741,0.004407229619289427,0.004407229619289427,0.002644339534463741,0.0079330097889408,0.004407229619289427,0.0035257845768765844,0.0035257845768765844,0.0048479521404958485,0.01057734491617933,0.00528867466170227,0.002644339534463741,0.0048479521404958485,0.004407229619289427,0.0022036170132573194,0.007492287267734378,0.00837373231014722,0.00528867466170227,0.0030850620556701625,0.006170119704115113,0.006170119704115113,0.0022036170132573194,0.006610842225321535,0.006610842225321535,4.407225212064216e-09,0.007492287267734378,0.0008814494496380552,0.007492287267734378,0.0008814494496380552,0.007492287267734378
k141_48_2,0.011894270406956928,0.011013213666092245,0.009251100184362879,0.01453744062955098,0.010572685295659903,0.0044052881096071205,0.010132156925227561,0.010572685295659903,0.012775327147821612,0.009251100184362879,0.007929515073065854,0.007929515073065854,0.010132156925227561,0.011453742036524587,0.009691628554795221,0.005726873220904145,0.010132156925227561,0.005726873220904145,0.007048458332201171,0.007048458332201171,0.008370043443498195,0.009691628554795221,0.011013213666092245,0.007929515073065854,0.004845816480039462,0.010572685295659903,0.008810571813930537,0.011894270406956928,0.013215855518253954,0.011894270406956928,0.010132156925227561,0.013215855518253954,0.0035242313687424373,0.006167401591336487,0.0044052881096071205,0.0044052881096071205,0.005286344850471804,0.006607929961768829,0.007929515073065854,0.003083702998310096,0.003964759739174779,0.005286344850471804,0.002202646257445412,0.004845816480039462,0.0044052881096071205,0.011013213666092245,0.006167401591336487,0.005286344850471804,0.003083702998310096,0.008370043443498195,0.004845816480039462,0.008370043443498195,0.0035242313687424373,0.011013213666092245,0.005286344850471804,0.005726873220904145,0.013656383888686296,0.003964759739174779,0.009691628554795221,0.005726873220904145,0.002643174627877754,0.002643174627877754,0.007048458332201171,0.012775327147821612,0.005286344850471804,0.002202646257445412,0.0035242313687424373,0.007929515073065854,0.009691628554795221,0.011013213666092245,0.002202646257445412,0.002202646257445412,0.009691628554795221,0.01453744062955098,0.010572685295659903,0.014096912259118638,0.008370043443498195,0.009691628554795221,0.011013213666092245,0.012775327147821612,0.007929515073065854,0.0044052881096071205,0.007488986702633512,0.003964759739174779,0.005286344850471804,0.011453742036524587,0.004845816480039462,0.009251100184362879,0.005726873220904145,0.0044052881096071205,0.011894270406956928,0.006607929961768829,0.006167401591336487,0.009691628554795221,0.008370043443498195,0.0035242313687424373,0.011453742036524587,0.006167401591336487,0.009691628554795221,0.005726873220904145,0.014096912259118638,0.009251100184362879,0.010572685295659903,0.006607929961768829,0.0044052881096071205,0.003964759739174779,0.007929515073065854,0.004845816480039462,0.004845816480039462,0.005726873220904145,0.010572685295659903,0.004845816480039462,0.006167401591336487,0.003083702998310096,0.006607929961768829,0.008810571813930537,0.009691628554795221,0.0044052881096071205,0.004845816480039462,0.007048458332201171,0.002643174627877754,0.008370043443498195,0.0035242313687424373,0.005726873220904145,0.0008810611461483876,0.010572685295659903,0.008810571813930537,0.002202646257445412,0.007048458332201171,0.0044052881096071205,4.4052837043234165e-09,0.007488986702633512,0.005286344850471804,0.006607929961768829,0.0013215895165807293,0.006167401591336487
k141_2997_1,0.016883111272280794,0.014285710204084024,0.01904761216244477,0.010389608601788865,0.015151510560149614,0.003030305575231347,0.012987009669985637,0.007792207533592095,0.014718610382116819,0.007359307355559299,0.007359307355559299,0.009523808245723275,0.011255408957854457,0.007792207533592095,0.00822510771162489,0.006926407177526504,0.009523808245723275,0.009523808245723275,0.006493506999493709,0.016017310916215204,0.004329006109329733,0.011255408957854457,0.012121209313920047,0.011255408957854457,0.006493506999493709,0.009523808245723275,0.006060606821460914,0.010389608601788865,0.011255408957854457,0.006060606821460914,0.008658007889657685,0.010822508779821662,0.00822510771162489,0.004761906287362528,0.007359307355559299,0.004761906287362528,0.006060606821460914,0.006926407177526504,0.006493506999493709,0.0025974053971985515,0.006926407177526504,0.009523808245723275,0.003030305575231347,0.005627706643428119,0.005627706643428119,0.012987009669985637,0.012121209313920047,0.006926407177526504,0.003896105931296937,0.00995670842375607,0.004761906287362528,0.006926407177526504,0.0017316050411329612,0.005194806465395323,0.003463205753264142,0.004761906287362528,0.011688309135887252,0.004329006109329733,0.011688309135887252,0.003896105931296937,0.005627706643428119,0.008658007889657685,0.006926407177526504,0.011688309135887252,0.0021645052191657565,0.0017316050411329612,0.003463205753264142,0.010822508779821662,0.004761906287362528,0.010389608601788865,0.003030305575231347,0.0025974053971985515,0.007359307355559299,0.012987009669985637,0.01904761216244477,0.011688309135887252,0.004761906287362528,0.00995670842375607,0.015584410738182411,0.006926407177526504,0.016883111272280794,0.003030305575231347,0.00909090806769048,0.00822510771162489,0.00822510771162489,0.00909090806769048,0.004329006109329733,0.00822510771162489,0.004761906287362528,0.0025974053971985515,0.009523808245723275,0.010822508779821662,0.004329006109329733,0.010389608601788865,0.007792207533592095,0.0008658046850673709,0.008658007889657685,0.0017316050411329612,0.012554109491952842,0.008658007889657685,0.00995670842375607,0.00909090806769048,0.00909090806769048,0.003896105931296937,0.006060606821460914,0.0025974053971985515,0.003896105931296937,0.003463205753264142,0.0021645052191657565,0.003896105931296937,0.00909090806769048,0.003896105931296937,0.006493506999493709,0.003896105931296937,0.003896105931296937,0.007792207533592095,0.006493506999493709,0.003463205753264142,0.0012987048631001661,0.004761906287362528,0.0017316050411329612,0.008658007889657685,0.011255408957854457,0.006493506999493709,0.0004329045070345756,0.006926407177526504,0.006060606821460914,0.0021645052191657565,0.007792207533592095,0.0021645052191657565,4.329001780327953e-09,0.007792207533592095,0.0021645052191657565,0.007359307355559299,4.329001780327953e-09,0.00909090806769048
k141_2997_2,0.025108214654903902,0.014285710204084022,0.017316011450313588,0.010389608601788863,0.016883111272280794,0.004761906287362527,0.011255408957854453,0.011688309135887249,0.013852810026051227,0.005627706643428117,0.005627706643428117,0.011255408957854453,0.012987009669985635,0.0038961059312969367,0.008658007889657683,0.006926407177526503,0.015584410738182407,0.010389608601788863,0.007792207533592093,0.009090908067690478,0.009523808245723273,0.010389608601788863,0.015151510560149612,0.009090908067690478,0.009523808245723273,0.007792207533592093,0.009090908067690478,0.012121209313920044,0.009956708423756068,0.009090908067690478,0.01341990984801843,0.017316011450313588,0.006493506999493708,0.003030305575231346,0.005194806465395322,0.005194806465395322,0.005194806465395322,0.009090908067690478,0.006493506999493708,0.004329006109329732,0.003030305575231346,0.008658007889657683,0.0038961059312969367,0.004329006109329732,0.0038961059312969367,0.010822508779821658,0.007792207533592093,0.005627706643428117,0.003463205753264141,0.007792207533592093,0.002597405397198551,0.007359307355559298,0.001298704863100166,0.004761906287362527,0.004329006109329732,0.005627706643428117,0.008658007889657683,0.0038961059312969367,0.011688309135887249,0.002597405397198551,0.005627706643428117,0.005627706643428117,0.009090908067690478,0.0160173109162152,0.006493506999493708,0.002597405397198551,0.002597405397198551,0.006926407177526503,0.004761906287362527,0.006493506999493708,0.003463205753264141,0.0017316050411329607,0.005194806465395322,0.010822508779821658,0.019480512340477565,0.006926407177526503,0.006493506999493708,0.007359307355559298,0.01255410949195284,0.010389608601788863,0.017316011450313588,0.003463205753264141,0.005194806465395322,0.008225107711624888,0.005627706643428117,0.008225107711624888,0.005194806465395322,0.006060606821460912,0.004329006109329732,0.004329006109329732,0.007359307355559298,0.008225107711624888,0.009090908067690478,0.006926407177526503,0.009523808245723273,0.003030305575231346,0.009090908067690478,0.005194806465395322,0.016883111272280794,0.009956708423756068,0.012987009669985635,0.009956708423756068,0.009090908067690478,0.0038961059312969367,0.003463205753264141,0.005194806465395322,0.003463205753264141,0.004761906287362527,0.005627706643428117,0.0017316050411329607,0.006493506999493708,0.004761906287362527,0.002597405397198551,0.005194806465395322,0.005627706643428117,0.007792207533592093,0.006493506999493708,0.0038961059312969367,0.003030305575231346,0.003463205753264141,0.001298704863100166,0.009956708423756068,0.005627706643428117,0.003463205753264141,0.0004329045070345755,0.005194806465395322,0.0038961059312969367,0.003030305575231346,0.011255408957854453,0.002164505219165756,4.329001780327952e-09,0.005627706643428117,0.003030305575231346,0.007359307355559298,0.0008658046850673706,0.010389608601788863
