,sample1.mapped.sorted.bam_mean,sample1.mapped.sorted.bam_var
k141_12,13.330175434706089,34.31761113419419
k141_4400,6.534081681279803,7.192703912105295
k141_2952,2.6060906345009913,1.1151613933658895
k141_22,4.789382352714671,2.9271515775644685
k141_1485,4.5535367633816906,4.888965796057108
k141_4421,6.785198057386584,8.022109334545236
k141_2965,3.3541942772612003,3.1636590176057116
k141_1503,3.075130606478291,1.0770684795960483
k141_4427,17.27735111834718,28.856170727339148
k141_2984,3.8137109189640768,2.248510672455296
k141_48,3.7130930489192266,2.0981209726250616
k141_1521,10.103030914020138,18.201635266022713
k141_2997,4.301395165326184,2.2083280098246147
k141_55,4.108835729244577,2.7559306106169887
k141_3000,35.456910040469445,133.68158015552814
k141_1538,4.695389796397807,2.79523532560591
k141_4451,32.43481642804967,95.85825066742397
k141_3003,3.351527107811491,1.7340958197525136
k141_4457,2.631506062992126,0.8161833523467047
k141_1549,4.620101623036649,3.2512948083591455
k141_1553,12.822398361285108,23.417847819674606
k141_81,18.54464504288465,23.823197128315144
k141_3022,22.83160636062862,64.37826725312158
k141_1563,8.194800046656297,10.088427646432812
k141_4490,3.336583511543135,1.8757926698694434
k141_3024,11.368212286110149,18.52290607546412
k141_88,13.624044959941733,28.168784105114288
k141_1565,4.072444607645875,2.344193140425383
k141_3026,20.60959740758407,74.07057870646676
k141_4496,14.427110723427935,30.481757465091295
k141_1572,10.116431987026289,10.927049980342789
k141_4504,12.175071641423036,19.463199279398644
k141_4512,4.957404257486878,4.9281113916434665
k141_1581,4.780129534444794,4.594946632455775
k141_3048,9.775738634941543,12.866228080156493
k141_115,14.274001655076495,45.26986207781632
k141_3050,20.05698714090754,45.42938045972994
k141_125,5.515830312499999,3.6028847177124024
k141_1608,4.600009999999999,6.3911061214165255
k141_3052,5.322889858657243,3.814339280030133
k141_4531,4.312479596238041,3.7011403856087717
k141_3056,4.2456029487179485,4.162851154822074
k141_4534,6.082164380739637,6.451687066263385
k141_3060,10.138154607513128,10.639334576907437
k141_4539,4.61249527679623,3.7562027633285746
k141_163,8.663099306247604,8.666493518662953
k141_4545,12.769574040075819,20.388284843786764
k141_1648,6.604241006794317,5.692203340088609
k141_4552,3.876278412438625,2.0102324091331587
k141_4558,80.09101680759585,1496.5019391547369
k141_184,4.828988007761966,2.453814518274427
k141_3070,7.829805897592507,9.504099045734684
k141_4571,10.21851699844479,12.159885220402034
k141_1677,5.74376208263912,4.470501619976503
k141_3071,7.930203154862758,15.12153483561563
k141_1679,8.353633188405796,10.698793168802073
k141_203,14.395154628099172,45.658436838586844
k141_208,3.445189975175838,1.0753043097686383
k141_3090,15.004306100462657,25.9011812328797
k141_4593,5.362472995855535,6.075972198897123
k141_3096,7.262557649301143,12.65645992625559
k141_235,3.9193538140806563,2.063224333603224
k141_1724,8.709494855184612,12.070817671835636
k141_4605,4.4387243635373155,2.1271329521870066
k141_243,4.790881121718376,4.707170100335495
k141_1728,17.197198921041753,38.092999204077344
k141_3109,3.6071791176470587,2.5447747802227507
k141_244,20.86448415973979,74.38894307188377
k141_1729,7.481184438687392,6.9584638883967065
k141_1746,4.871894735202492,3.025263145592531
k141_251,7.122483449811579,11.136945848472887
k141_3145,5.298711298701298,5.029037705035907
k141_4633,3.1444436254462835,1.6185517191419683
k141_1749,19.81033078103208,39.120238209512365
k141_258,14.158767255035848,24.713966256882323
k141_3146,22.02659536585366,217.55320565734678
k141_4639,4.422206796338672,3.6474654334298586
k141_261,16.154780848985723,41.774703617662624
k141_1759,5.538459006190942,2.774761716282004
k141_4650,36.266194789440604,194.41029959250278
k141_269,4.018202488262911,3.1751485169388793
k141_4652,7.301407205588822,9.11675455480257
k141_3190,2.9941729079331387,2.0116501124899258
k141_282,2.5109480793474233,1.4942359275710975
k141_1786,5.398999898989898,3.905696625383595
k141_1788,4.75520348268839,2.769815003297647
k141_285,5.612831015487159,5.514678007368582
k141_1789,3.5300391545189505,1.6689333227651746
k141_3206,4.402449024390243,4.513543610945865
k141_4662,6.831348199513382,6.670443975645419
k141_3215,3.1068713138686133,1.1640651121530186
k141_304,5.430328828955283,4.078721809316615
k141_4666,5.180038751520513,3.9501275707756944
k141_1801,7.245955391090125,4.422515458456312
k141_4667,4.06482155336386,3.2948584234522893
k141_4670,6.5989947715736035,6.097354872139378
k141_3232,6.82663490211433,7.067993362042374
k141_344,6.576903649579188,6.2922993559428395
k141_1823,8.440694269245071,9.247607300462844
k141_4678,4.823047790697674,3.8898426322927935
