contig	bin
k141_4196	45
k141_4199	1
k141_1298	46
k141_4213	1
k141_2828	1
k141_5787	3
k141_1340	1
k141_5794	1
k141_5802	1
k141_2854	2
k141_1368	1
k141_5804	1
k141_4266	3
k141_5809	2
k141_2883	47
k141_2884	1
k141_4294	1
k141_4306	1
k141_2896	3
k141_4311	1
k141_5826	3
k141_2910	48
k141_4313	2
k141_4314	49
k141_5830	2
k141_1459	1
k141_2911	1
k141_2915	3
k141_5840	3
k141_2920	3
k141_5845	1
k141_2921	23
k141_2922	1
k141_5853	5
k141_4358	1
k141_4378	3
